"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
"@115911 December? I might be stuck doing the big in person buy 😔 https://t.co/4jTOwO3evw | @268909 The iPhone X is a popular device right now. If you have questions about ordering, feel free to DM us. *JamieK"
"@60135 @6006 @47334 @127271 @115714 I️ need a new case for my #iPhoneX, who got me? | @456097 Hey there!  Thank you so much for the post today! What’s going on? -KJ"
Finally a updated !!!! I am so excited. #iphonex #sprint | @119841 Congratulations on your new order of the Iphone x. We hope you enjoy!!
".@115858 I pay 1200 dollars for your new phone the iPhone x on .@115911 Then come to find out. You denied support for tmobiels 600MHZ #wtf https://t.co/eNSlm90DwG | @116425 Hey Corry, I am so glad that you reached out to us!! Were we able to answer all your questions this morning? *CamiCutsforth"
@115913 Just curious is there any more works with the iPhone X supporting the new LTE 600MHz. | @116425 @115913 The iPhone X was not created with the hardware needed to function on the 600 MHz frequency. *DanKing
@115714 my iPhone x is officially in transit! Thanks sprint you guys are seriously the best no matter what people say 👍🏼👍🏼👍🏼👍🏼 | @457461 Thanks for your positive feedback. New iPhone X almost in your hands! :D - GV
"@115911 can I️ switch in my iPhone 8 for a iPhone X ? 👀 | @457834 We can take a look, Jas! You've always got options! DM us, let's chat! *WhitneyJ"
@115913 can you help a brother out? Have to wait three weeks to get $0 down on iPhone x. | @326775 @115913 Hey! I'm here for you and would love to check out your options. DM us. https://t.co/3sF8qpf2nx *AlissaFast
"@TMobileHelp hey guys... my visual voice mail isn’t working on my iPhone.. can you help me?! | @457888 Absolutely! Shoot me a DM, and I'll save the day! https://t.co/oIBK3mlmoz *DannyHarvey"
It’s on its way!!! I ain’t waiting on no stinkin line ❤️😂❤️😂❤️ #iPhoneX thank you @TMobileHelp debi for ordering it 😘and @458470 😂😍 https://t.co/G6J9myCqdW | @424489 So excited for you! I know that you’ll LOVE this device! 😊 https://t.co/jjKemKyHlV *AlexisGovea
@TMobileHelp So can JUMP customers not jump to an iPhone anymore? Seems you’re asking for a paid off iPhone to jump. | @458471 I'd love to talk more about this! Dm me! https://t.co/86MicZnF9C *WarrenCamp
@TMobileHelp im trying to upgrade to the iphone x but i need help. | @232127 Hey I would love you help out! Go ahead and send me DM https://t.co/EyMABzAJlb. *MiggyHerrera
@sprintcare I have a question if I switch to sprint and trade in my iPhone 6 Plus 64gb towards iPhone 8 how much will I save off of iPhone 8 | @459119 Please click on the link for our current promotions. https://t.co/OLXF2ShjmN
@sprintcare I have a question if I switch to sprint and trade in my iPhone 6 Plus 64gb towards iPhone 8 how much will I save off of iPhone 8 | @459119 Hello there! We are excited that your are thinking about switching to Sprint.
"@115911 is on some BS. I’m just tryna get the iPhone 8. How is that so hard? | @459349 What's up, Jorgie? *JoanO"
@TMobileHelp to get an iPhone unlocked from TMobile does the original customer have to request it or can a non-customer? | @459351 Howdy!  Let's check it out!  Can you please shoot me a DM? - https://t.co/pPPWxmt76F *JohnKuhn
@115913 Please tell me iPhone X pre-orders are still set for Oct. 27 🤞 | @459352 @115913 Yes indeed. Head: https://t.co/rGPmP6ItT7 to pre-register to be reminded when the time comes! *DanKing
"Am i the only one T-Mobile screwed over with the iPhone X pre-order? @115913 @115858 @120026 #iPhoneX | @459530 @115913 We want all to be going smoothly with your order, Michelle. DM us so we can help: https://t.co/cuEwtd2epS *DanKing"
"Ordered iPhoneX midnight 10/27 card was charged, next day, canceled, no reason,Customer Services says start over,🙁 no help. #iphonex #sprint | @459566 Sounds like something we need to look into. Please send us a Direct Message, so that we can further assist you. -JD"
"@115911 super excited as my iPhone X will be delivered tomorrow. My case will arrive on Saturday. Sooo glad I left @115990 | @431476 Very, very cool!!! I am super excited for you. *JessicaG"
@116447 been a customer for 9 years. Upgraded to iPhone 8 $350 off deal now sprint says they can’t send me a return kit 4old phone? | @459747 I will be happy to assist you with your return kit.. Please DM your contact number. &amp; Team @116447
@117735 thinking of switching from @115911 but have lease on iPhone 8 and watch LTE - does AT&amp;T offer assistance for switch? | @129672 Hey Jeremiah - why are you wanting to leave #TeamMagenta?! Send us a DM so we can chat on improving your experience! *TerriL
"@115911 @115913 Buying iPhone 7 has been impossible today. Not in stores, Online - Nope. Via twitter - Nope. | @460875 @115913 We've got your back and we'll continue to work with you here! *MikeRice"
@115714 will all retailers have iPhone x in store tomorrow? | @461099 Hey Tanei! The iPhone X will be available through all channels on 11/3/17. -  EH
I think I want the new iPhone X #Sprint | @461549 Hi there! Thank you for reaching out to us! We're exciting too for the iPhone X. Are you currently a Sprint customer? -MM.
let me in to buy my iphone @115714 | @461686 Hey there. We know you're eager to order your new device and you will be able to from 2:00 AM CST. You're only a few minutes away. -KT
@TMobileHelp I’m hoping to unlock my iPhone 7 Plus in preparation for getting my iPhone X tomorrow in the mail. Can you please help? | @461900 Can you send us a private message so we can get started? *ChristinaP
@TMobileHelp I’m hoping to unlock my iPhone 7 Plus in preparation for getting my iPhone X tomorrow in the mail. Can you please help? | @461900 Hi Adam! My name is Christina and I would be happy to help you get this taken care of! *ChristinaP
"@115911 @TMobileHelp @115913 @115858 @ATT @117735 T-Mobile canceled my iPhone X pre-order. Good job guys! Thank you! 👋 | @459530 @115913 We've sent you a DM, Michelle. Please review when you can, thanks! :) https://t.co/62aD1VBovp *TJJones"
"#GLENDALE store coming along post-remodel!!  So excited @115714 @115858 #iPhoneX https://t.co/anM7iZwSGp | @166619 Hey, looks good."
"After I paid my iPhone full #TMobile refuses to unlock my #iphone ! Please help me Apple !  @115911 @64600 @AppleSupport https://t.co/PmTwgQQfJg | @421634 I've sent you a message in a DM, let's meet back there! *KiaWashington"
"@115913 plz help me? I dropped my T-Mobile iPhone 7 that had Apple care &amp; Apple couldn’t help me. I’m out of options @TMobileHelp 🙏🏽 | @462698 @115913 We're on this, Paul and we truly want a resolution for you. We'll continue to work  with you in DM. *MikeRice"
How  a @115911  in Baltimore gonna say that can’t tell me if they having iPhone X in store tomorrow 🧐• | @462838 Inventory differs from store to store. DM us and let's see if we can figure this out for you. *JamieK
"@tmobilehelp Why are the texts from T-Mobile coming in Spanish after I’ve ordered an iPhone X? I don’t speak Spanish. Never have. | @462968 Oh that’s NO BUENO! Let’s get that fixed for you, lets gets started click this link below.  https://t.co/xKtJVNqc2V *AshleyL"
"If @115817 cooperates, I will have my #iPhoneX tomorrow morning before I leave for #OpenStackSummit, Australia. Thanks @115911  :) | @235333 We’re super exited for the iPhone X! Send us a DM if you have any questions about your new iPhone! *AnthonyS"
"Thank you @115714 for being able to deliver my 256 gig iPhone X by launch date, even though I pre ordered at noon on the 27th 😃 https://t.co/hU5mhSRTR8 | @426804 We're glad to hear it. If you have any questions, just let us know. We're here for you. -FG"
"Mines say in transit but no arrival yet, did California not get delivered yet???? @115714 #iPhoneX #sprint https://t.co/2aS8t3N5EH | @463493 Good question! Visit https://t.co/RDgqxvpxy6 let's get you some answers quickly. Our chat's available for assistance 24/7. -MM https://t.co/rMApsVqrfy"
"Wtffff the @115911 rep just cancelled my iPhone X order without asking me; I’m livid | @463576 Say what?! Something doesn't sound right here, let's get to the bottom of this Yasi! DM us. *KananiB"
@115911 I preordered my iPhone x yesterday the 11/1 they told me they were going to send me a text to confirm the pre order &amp; I got nothing | @463720 Hey J! Did you get an email asking for your eSignature? Let's take a look to make sure you're all set for your new phone. DM us! *TerriL
"@TMobileHelp I preordered my iPhone X and there hasn't been any update for my order | @463778 Shoot me a DM and let's figure out the status!! 

https://t.co/KQh917xfZf *SurDuaneMcGurn"
"This is why @115911 they need to disguise their boxes, first iPhone X stolen https://t.co/ccfYzwXQdX | @463980 Hey Jubert, we need to get this taken care of asap. Send a DM our way and we'll get this situated for you! *HeatherSaenz"
@115714 @sprintcare will your stores even be carrying any iPhone X’s tomorrow? I’m not trying to stand outside in a line for no reason. | @117590 We apologize for all the inconvenience that you have had. Please send us a DM to further assist you. -FP.
@TMobileHelp It said free shipping when I bought the iPhone X.  Not the online receipt and charge shows $24.99.  Help! | @464001 Hey there! Shoot me an email and let's look into this! https://t.co/iUlnGXy3Ha *VinnyFrancisco
@115714 says you can return your iPhone but not in the store...they will send a return kit...but they do not... | @464011 Good Night Sir. These are the options available to you to return your device/devices. -FJ
@TMobileHelp will I be able to go wait in line at a t-mobile store to get the iPhone X tomorrow ? | @413849 I don't see why not! :) Click here to DM so we can hook you up with some more info! https://t.co/6eZrWJ9PIa *JustinRhodes
"@TMobileHelp will every T-Mobile location have the iPhone X available tomorrow? | @464118 Due to incredible popularity, T-Mobile will have very limited iPhone X inventory in-store for launch day! *KevinM"
@TMobileHelp will y’all have the iPhone X in stock at your locations tomorrow? | @464119 Great question!! Shoot me a DM!! You must be X-cited! https://t.co/HTgeLMEYEm *DonHebron
"Super disappointed that I’m more than likely not getting my @115911 iPhone x tomorrow .. it’s just sitting in ky wait on ups :( 18+ hrs | @464555 Hey Will, we're doing our best to get them out to you as soon as possible. *ChanneyT"
@TMobileHelp will the iPhone X be shipped out tomorrow? | @427368 I can't wait for that gorgeous iPhone X either! Shoot me a DM and I can take a look for you! https://t.co/i0i27O9RhV *AdamJudge
@115817 won’t let me reroute #iPhoneX shipped to wrong address by @115911 how do I get my$1000 device shipped 60miles away? fail fail fail | @464831 Hey there. We understand how frustrating this must be. DM us so we can get you squared away! *MelindaR
Why are people who ordered hours after me getting theirs tomorrow but mine still says pending? @115714 #iphonex | @117590 Hey Sara! Please feel free to check your order status and more details through: https://t.co/l13eStvC56 - FL
"@115911 bitch why the fuck does my iPhone 8 keep setting itself on WiFi by itself even if I take it off like 8,000,000xs | @465078 Let's take a look so you can have the best experience on your new phone, Hades! DM us with more details :) *TerriL"
@115911 @TMobileHelp is such a joke. DM with 5 reps in the last 12 hrs trying to resolve my canceled iPhone X pre-order @115913 | @459530 @115913 I've got your DM and will reply shortly. *ZachRicketts
"@TMobileHelp UNLOCK:  iPhone 6s bought 06/14/17 T-Mobile SIM  ( US T-MOBILE Locked Activation Policy)  15 yr customer Son going to Sprint | @285030 Hi Kathryn, we'll be happy to assist tonight. Send us a DM and we'll get that taken care of right away! *GregoryD"
It's 11/3 where the fuck my iPhone X bitches @115714 ? | @466894 Please visit https://t.co/hqOnhxrGCa to check the status of your order. - DW
I’m looking to get the iPhone 8 and Apple Watch 3 but something has changed @115911 to where I can’t and refuse to pay 450$ down on a phone | @162844 If you think you are seeing that amount in error DM us and we'll look into it for you Nic. *KaeW
@155347 will my #Sprint #HTC10 upgrade to #Android #Oreo? | @467206 Please send us a DM let's further assist you with this. -R.A
"@TMobileHelp 😓no iPhone X in stock near me at all. This plus the JOD down payment has me thinking I should try another carrier | @464118 Hey there, I can surely look into that for you. Click my pic and send me a DM. https://t.co/qq38zSSEWu *JessicaCanada"
#Sprint can I activitie a boost iPhone on sprint network | @199236 Thanks for your chat today. You can visit the link provided for more https://t.co/Tkj5iZwONs on our boost network. -NS
@TMobileHelp @115913 so T-Mobile has requested my new iPhone Xs be returned to sender!! Why?! 😡😡 https://t.co/9bi5OR4Nm6 | @467824 @115913 We'll figure this out in DM. I'll meet you there. *RachaelTansey
"@TMobileHelp Currently at your store in Rogers Arkansas,  with no sign of any employee. I thought you opened at 8a for #iphonex day???? | @467999 Oh no @467999 !! Store hours do vary, I looked up the 3 stores in that area for you and I am showing 10:00 AM ! *TrudyM"
@115911 where my iPhone X at send it now pls | @468044 Hi Hunter! You can check the status of your order via My T-Mobile. DM us if you need help. *GiselleM
@ATT @115911 @115714 anyone looking for a new customer? @115725 messed up iPhone X order. Now I might be looking to marry someone new. | @468075 We would really hate to see you leave our family. What seems to be the problem with your pre- order? -AS
"Stupid move, @115714. Open your corporate stores early for #iPhoneX and don't stock any? You're begging me to go to Verizon. 🙄 | @468289 What you can do is, contact and verify if they have any of the device in stock before you visit. You can also set up an appointment. -JD"
"Stupid move, @115714. Open your corporate stores early for #iPhoneX and don't stock any? You're begging me to go to Verizon. 🙄 | @468289 We would like to apologize for the inconvenience caused. Please visit this link to locate stores closest to you https://t.co/X1DpDgk1EU -JD"
"Hey followers anyone have an idea of a good cell phone company with deals on iPhones @115911 @TMobileHelp is just insane on pricing | @468454 We'd love to go over available options with ya, Billy! Send me a DM here! https://t.co/bWtUa4xl2I *JannaPrivett"
"Thank you @115714, my phones have arrived! #iPhoneX | @118030 Sounds great =D. Hope you enjoy your new devices. -AS"
My iPhone X just arrived from @115714!  Hopefully @115858 lives up to they hype 🤞 https://t.co/WqhebM7qPl | @468471 Glad to hear you got your device. Hope you enjoy. :) -AS
"Thank you, @115911 for messing up my iPhone order 2 years in a row. Running out of patience! See how far you can go! | @468675 Oh no Shangwu! What's going on? Send us a DM and we'll get this all squared away with you *ErikS"
"OK @115911 @TMobileHelp I just went from 8/1 to 10/1 on my S8 Android Security Updates, hoping to see you roll out the 11/1 before 11/30 | @448605 Updates are important! Keep an eye here for any news on them: https://t.co/Rr9gquqLgQ *JenniferJackson"
"@115913 I’ve been to 6 T-Mobile stores so far and none of them have the iPhone X, do any of the stores have them? | @468676 @115913 Due to the popularity of the pre-order, stores may be delayed in receiving stock for this device. We can set you up with an order! *MikeRice"
another huge thanks for @115911 and @TMobileHelp for somehow getting day one deliveries for the iPhone X. | @437272 You are welcome and thank you for being an awesome part of #TeamMagenta! *KennethStone
Wasn't able to get the iPhone X after @115714 messed up my pre-order. Not even a cancellation alert. I DEMAND an explanation. | @468707 Were you ever given an order number?
"Wasn't able to get the iPhone X after @115714 messed up my pre-order. Not even a cancellation alert. I DEMAND an explanation. | @468707 Hello, we are terribly sorry about that. There was a high demand for the iphone X that it created issues with orders."
"Sprint just told me that I have to pay to get my phone turned back. Mind you, this is an iPhone THAT I PAID @115714 | @468705 This is concerning to us and we would hate to see you leave the Sprint family. Please DM us to get this resolved! -Maria Q"
"@TMobileHelp hi, do you know if you have the iphone x available at tmobile stores? | @468863 Hey! Let's take a look! Send me a DM  https://t.co/so3NREySxr, so we can look into this! *ChrisScott"
@115714 I need y’all to replace this broke ass iPhone 7 | @468893 @468893 - Hi! What's wrong with your device? -LG
"MY IPHONE X MIGHT NOT GET HERE UNTIL A WEEK FROM NOW 

i pre-ordered it on Oct. 27th tho 😭😭 @115911 dudes wth | @469139 Hey Rebecca! I know how excited you are for your iPhone X so I get it! DM us here so we can look into your order with you. *BlakeT"
":: Have a look at my new #iPhoneX! Oh, wait... @115714 didn’t make their promised shipping deadline. So all I have is an empty case. https://t.co/DK9pWGpTN9 | @469505 This is not the feedback we like to hear. Please send us a DM with your contact info. We'd be glad to look into it."
My iphone-x was placed and cancelled 3 times by the costumer service🤦🏻‍♂️.  Confused bunch of employees @115714 | @227681 We are so terribly sorry about that. When did this happen?
@115911 how come south Florida tmobile stores don’t have th iPhone X | @299305 That device is very popular.  You can order the device online or we can order it for you. https://t.co/WZM6cbcgHU *JonPorter
"(1 of 2) Don’t trust @TMobileHelp or @115913 if you’re trying to get the @115858 #iPhoneX. Called the #TMobile store on Wednesday… | @218361 @115913 Due to the popularity of the pre-order, store inventory is limited. We can always help you to place an order! Please DM us. *MikeRice"
"The race is on to find a @115911 store that has an iphone x instock.  #TMobile  #tmobileiphonex #iphonex #magenta | @469880 Hey there Dave if you have any questions or anything do you mind DM on the link below. 

https://t.co/GzQFNLmNtl *RyanPerez"
"@115911 @TMobileHelp Are there any iPhone X available in the Louisville KY stores? | @469881 Hey Shelly do you mind DM on this link below please I would be happy to help you out. 

https://t.co/GzQFNLmNtl *RyanPerez"
"Preorder my iPhone X, saw the tracking and it in the @115714 store. But they haven’t called me yet. They better call or I’m act a fool later | @395077 We know you can't wait. You can visit https://t.co/X1DpDgk1EU to locate the address and number to call the store and confirm. -DJ"
"@TMobileHelp 2 Qs: When does the $300 iPhone trade in deal expire and when do I have to send my phone in for trade? When I get the X? | @470230 Hi Chester, that is a great offer! Let me get you all the details! Can you please send me a DM? *SherayG"
"iPhone X plans:

@115911 with good credit: 429$ down
@115725 with good credit: 0$ down 
@115714 with good credit: 0$ down

What the actual fuck. I thought TMobile was the network that did more? https://t.co/AeWYbznH2p | @276067 With a Sprint Flex, the 64GB Version: $0 Down, $41.67 a month and 256GB Version: $150 Down, $41.67 a month. 
https://t.co/a8o8qjKr9l -HS"
"@115913 @115911 I’m not getting my iPhone X on launch day even though I was up at 3am to pre order and my order said I would #upset 😭😢😞 | @470501 @115913 Let's dive in and check out that order status, Julian. Please send a DM my way. https://t.co/lH0SH5fy2m *MikeRice"
"@115911 My new iPhone won’t activate using the SIM from my old phone. Can you help me? | @185901 Yes we can, Jason. DM us, let's get you set up. *JoanO"
"@115913 t-mobile did me dirty!  Pre ordered the iPhone X on day 1 and guess what, no phone and they say my order is lost... #waittime | @470730 @115913 I want to get to the bottom of this and sort this all out for you, Brian. Please DM us. https://t.co/lH0SH5fy2m *MikeRice"
"@TMobileHelp called my local store Wed. and was told a few iPhone X would be on hand. Show up this am and no phones.  Bad form on t-mobile | @471008 Hey there, I can surely look into that for you. Click my pic and send me a DM. https://t.co/qq38zSSEWu *JessicaCanada"
Thanks @115714 🤬 #sprint #iphonex #apple #firstworldproblems #wireless #wtf #epicfail #failfriday https://t.co/b6kYga9ZM8 | @471026 @471026 - What's your issue? -LG
"Snagged my #iPhoneX this morning (thanks @115714!) but be prepared - iCloud Restore + Software Updates, etc. took at least an hour. | @471033 Thanks for letting us know! Are you up and running now? -SM"
Thank you so much Maria Q @115714 @sprintcare I will continue my services with you all and I look forward to ordering the iPhone X | @468705 Have a great and safe weekend! -Maria Q
"Thank you @115714 @sprintcare especially Maria Q for swapping my iphones. | @468705 Your most welcome. Thank you for being the best part of Sprint, it was a pleasure to be able to resolve that for you! -Maria Q"
"… stores are out and no idea when they’ll get more. @115911 only company doing this. Makes me want to switch back to @ATT | @471619 Your feedback is important, Jenn. We want the best options to get you on the latest iPhone. DM us for assistance. *KeithM"
"@115913 I preordered my #iPhoneX last week on 10/27 signed my EIP &amp; still haven’t heard anything. Ship date is 11/2-11/3 with no update. | @471623 @115913 Let's get to the bottom of this order, Alfred. Please DM us. https://t.co/lH0SH5fy2m *MikeRice"
"@AppleSupport @sprintcare my iPhone X won’t activate :-( | @471648 Good day, you can activate you device via this link https://t.co/ub72NqopZn . -KK"
@TMobileHelp I want to switch at&amp;t to T-Mobile and get the iPhone X do I have to wait until it’s in stock since I have 14 days to trade in? | @241498 Click here to DM us so we can discuss this more! https://t.co/RQOGmhS8Bk *AliciaBanks
@115913 whats going to be the down payment and monthly payments for the iphone x (64gb) JOD customers!?? | @472178 @115913 Stay tuned for more details as we get closer to the pre-order launch on 10/27/17! *AlissaFast
The #iphonex is here. Now to set up 3 of them. @115911 https://t.co/JsAJLoliUU | @330689 Congratulation enjoy your new devices!! *SherayG
"@TMobileHelp i ordered the iPhone X this AM &amp;given an est ship date btwn 11/03-11/10, then text said cant promise date, will i get by 11/10? | @472195 We're working on getting these devices out ASAP! Click here to DM so we can take a closer look https://t.co/6eZrWJ9PIa *JustinRhodes"
@TMobileHelp my boyfriends iPhone 8 was lost 4 weeks by T-Mobile and they still haven’t replaced it. Help! | @472199 Oh wow! Click here to DM us so we can discuss this more! https://t.co/RQOGmhS8Bk *AliciaBanks
"Oye @118159, ya tienen el iPhone X? | @472218 ¡Sí! Está disponible para ser ordenado aquí: https://t.co/3AGzRd329w . - AR"
@TMobileHelp My pre-order for the iPhone X says shipping 11/10-12/01. Any chance of picking one up at a store or narrowing that window? | @472409 Good Morning Mason! My name is Michelle! Send me a DM and I will be happy to assist! https://t.co/hJXT6WXMOB *MichelleBradbury
No pre-orders for some T-Mobile customers. Why do we need to go into @115858 store to enroll in Apple's iPhone Upgrade Program with @115911? | @472555 Who's upgrade program are you on Joseph? DM us the details. *KaeW
store locator is all wrong. the number of phones are being showed and i’ve called all of the stores but @115714 is saying only pre-orders. | @470528 It's advisable that you call Telesales at 844.529.6714 or visit https://t.co/0qT1rLBLtN to order the iPhone X. -GS
@115911  I have t-mobile jump how much will be the iPhone X | @201856 Hey Kev! It depends upon a few factors so we'll have to look at your account first. DM us here so we can help out. *BlakeT
"@TMobileHelp I have an iPhone X preorder with JoD, but my 7Plus is being replaced through AppleCare. How do I update the IMEI of the return? | @472992 Send me a DM, I'll get you some help with this! https://t.co/UOOUCn8nWm *JeremyKelley"
"@115714 horrible customer service! Just paid for my iPhone but y’all messed up my account, sitting in the store for hours | @473024 Hello AJ, what happened?"
".@sprintcare Too bad we might have to say goodbye after 17 years. you're screwing us with the down payment 4 the iphone .@115725 your move. | @473031 Hey, we'll hate to lose you as a customer. Please send us a DM so that we can further assist you. -RA"
@117735 @115911 @sprintcare Anybody want to activate my iPhone? Apparently @115725 doesn’t want me as a customer anymore. cc @115990 | @202964 We'd be glad to have you as a member of the Sprint family and help you out. Just let us know if you're interested. - NJ
"@117735 @115911 @sprintcare Anybody want to activate my iPhone? Apparently @115725 doesn’t want me as a customer anymore. cc @115990 | @202964 Hiya, Aron! You're always welcome on #TeamMagenta! Send us a DM so we can get you rocking that #Unlimited awesomeness! *MelindaR"
Switched to @115725 today and couldn’t be happier. They got me an iPhoneX no problem unlike @115911 whose support never responded in 24hrs | @129435 We are :( to see you are no longer with us. We hope to win you back someday. *AliciaBanks
"@115911 Can I still trade in my iPhone 7 Plus and get the EIP credit or am I just SOL since I couldn't get that to work on pre-order night? | @473221 Hey Jeff, great question. DM us and let's look into your account to see if you're eligible. *JamieK"
@TMobileHelp @UPSHelp well done. #iphoneXlaunch launch could not have been any smoother. THANK YOU https://t.co/nMkB9eWha2 | @473223 Thank you! Looks like you'll have an AMAZING weekend with your new phone. Enjoy! :) 👏👏 *MattHargleroad
"@TMobileHelp  Got an iPhone X ordr#, signed EIP, gave my CC info and nothing in yr systems? Calld support - xferd 3x - useless! #TrustBuster | @473583 Oh no! Not the kind of experience I'd want you to have! Shoot me a DM and let's talk! https://t.co/NMvRntQYM5 *SarahPearson"
What more can I do @115911? I had a #iphonex reservation weeks before + was first in line at the shop to order on 27/10. So frustrating!!! | @473588 Let's take a look into your pre-order. Send us a DM for assistance. *JasmineS
Got the new iPhone but why don’t I have service @115714 ... damn anymore problems sprint? | @429495 How long has the issue been happening? Does the issue happen in one or multiple locations? Are you service issues with voice and data? -AC
Still waiting for my iPhone X delivery. Noticed I was charged $25 for shipping too. Not sure who to pout to more. @115817 or @115911. ☹️ 📱 | @473755 Let's take a look into your shipping charge. Send us a Dm for assistance. *JasmineS
"@115913 Despite being @115911 customer 15 years @TMobileHelp said ""too bad, it happens"" that my iPhone X order was lost. Late December? https://t.co/6c6J10rccb | @473756 @115913 I want you to have all the details. Click on my picture https://t.co/Mww69Rzn7a to send me a DM. *AshleyNelson"
@115990 why should I stay with Verizon. what’s makes your iPhone deal better than @TMobileHelp ? | @473757 Thank you so much for reaching out. Please DM me so we can help answer all your questions!!!! *Maximus Smith
I called our local T-Mobile store to complain about misleading info they told me beforehand about iPhone X release. @115911 | @473758 What's going on Charca? *JasmineS
@115911 what is the jump on demand pricing for the iPhone x? | @173414 That depends on if you have a down payment or not Robbie. DM us and we can give you an estimate. *KaeW
Thank you @115714 for my @115858 #iPhoneX came! Also thanks for the free iPad! 📱📲 over a decade with @sprintcare https://t.co/XtsuTBzwfj | @473767 You are most welcome. We strive to provide the best costumer service to all.-DD
@sprintcare trying to upgrade my iPhone online but screen has a small crack. What now? | @473768 Do you have insurance on your device (TEP)? -C.H
I did not receive 1 of 2 iPhone X today because someone at @115817 screwed up. Avoid unreliable UPS next time @TMobileHelp @115911 | @204199 Hey there let us know what happened. Shoot me a DM and we will figure this out. *ColterP
@TMobileHelp Can you help me activate my new iPhone X? | @183897 GIve us a DM and we can definitely help! :) *FabbyCeja
"@TMobileHelp Preordered iphone X on Oct 27, you guys CANCELLED my order now saying I have to re-order. NEED HELP NOW | @474207 Oh no! DM me, let's see what the issue is... happy to help! *BronsonBarretto"
"@sprintcare I received 2 iPhone's but only 1 return kit. Do I send both back in the same kit? | @474216 Hello Brian, please check the label on the return kit to make sure both phones IMEI and MEID are on there."
Why does @115911 do business with @115817. Second time my phone goes missing with them. #iPhoneX | @474402 Oh no! Call UPS and see what's going on with you package. *NaeJ
"@115714 called me and said my IPhone X came in and then literally 3 minutes later called me back saying never mind, it’s not yours... 😐 | @474416 Excited about receiving your iPhone X? Continue checking the status at https://t.co/hqOnhxrGCa. -AC"
I am clearly one of THOSE apple people @115911 @TMobileHelp / I miss u @115725 / you cool too @115714 #iphoneproblems #iphoneX https://t.co/OZIqtHIcM5 | @276067 I'm still here if you wanted to talk about options for upgrading! DM me! :) *RoseAdams
"I️ wasn’t eligible for an upgrade last week for the iPhone X pre orders but now I️ am.... now that it’s sold out. Damn it @115911 | @426806 Its a hot phone and going fast! Lets get your name on the list, DM us. *MelJ"
@TMobileHelp do I have to take the SIM out of my old iPhone to activate the X? Thanks! | @474700 Hey there! That's awesome you already got your new phone! Send me a DM so I can help! :) *ZoeyH
"Thanks to a representative for not keeping to her commitments, I cancelled my iPhone X order with @115911. So much for pre-ordering... 👎🏼 | @190105 That’s not the experience I want for you. I’ll meet you in DM so I can help figure this out *BarbPelotte"
"@115714 are the activation servers down? ive been unable to activate my iphone X the past 30+ minutes.. | @474910 Thank you for reaching out to us with your concern. Please send us a Direct Message, so that we can further assist you. -KK"
"@sprintcare can not activate my iPhone X because the activation server can not be reached. Any ideas to fix this? | @474912 Sure thing, please send us a DM so we can help. - ME"
"@115858 @115714 cant get this iPhone X to activate. Been trying for an hour. https://t.co/qF97EmSpYM | @474913 Hi Jon, we would be happy to assist you with this. Please send us a Direct Message, so that we can further assist you. -AC"
@TMobileHelp I got the iPhone 8 plus. Can I upgrade to the x? | @475110 Hello Roberto! :) Please send me a DM and I'll be happy to help! *ZoeyH
@115714 @AppleSupport iPhone X activation fails every time. | @475148 Oh no! We definitely want to work with you in getting this device activated on our network. Please send us a DM lets help. -CW
"Canceling everything with @115714 tonight if I don’t receive my iPhone X for forcing me to deal with shitty ups service. | @475151 Hello, what's going on and how may we help you?"
"@63006 thanks to Dwayne in the Brandon store for hooking me up with the iPhone X and a bunch of accessories I didn’t need #sprint | @475319 You’ve reached the right place – what's going on? Please elaborate, I'm here to help. Shoot us a DM. -AH"
"@TMobileHelp current customer, if I’m eligible for an upgrade and I have a iPhone 6 Plus, can I get the X without a down payment? | @475507 Great question, Michael! Send a DM our way so we can go over the details of upgrading to this device! https://t.co/Qz0L1xpZB7 *MikePerez"
@UPSHelp taking so long to deliver my iphone smh !! @TMobileHelp | @475508 We would love to check on this for ya!  DM me: https://t.co/tdwt367vMq *NevinBruce
@TMobileHelp I’m not able to activate my phone number on my iPhone X. Is this an issue on your side? | @475511 Yikes! We can’t have your amazing new iPhone X not working! Shoot me a DM! https://t.co/jjKemKyHlV *AlexisGovea
@115714 13 yr customer. Sadness. I️ can’t be home and ups wont hold my iPhone X for pickup. You just lost a sale &amp; 13 yr customer. | @253533 We would like to look into this for you. Can you please send us a DM with the details so we can get down to the bottom of this? -ES
"@sprintcare why is there not a way to activate a phone on a mobile phone. It’s either a laptop or call?!? | @429835 Hey, thanks for posting! Are you having issues with activating your iPhone? -CD"
"@sprintcare Everything transferred to my new #iPhoneX, is there anything more I need to do to activate the phone? Or just wait? | @429659 Thanks for asking, to activate or swap your device, visit https://t.co/WBaPWsWjPb  and follow the on-screen instructions. -SM"
.@115858 my friend was playing with it at @115714 store and found this BUG in just 30 seconds. #iPhoneX #iphone https://t.co/wmxn6CbRKB | @476077 How may we be of assistance to you? We are always happy to help.-DD
"All of the issues with pre-ordering the #iPhoneX from @115714 and they still messed it up and sent me 2 replacements! @sprintcare https://t.co/PgqosWPJCQ | @476078 We would like to look into this issue for you. Please send us a Direct Message, so that we can further assist you. -TR"
